Name,Flow (m3/s),Falls down (M),Power (MW),Status
VALLE DE ZONGO - ZONGO,0.37,379,11,2020
VALLE DE ZONGO - TIQUIMANI,0.18,513,9.7,2020
VALLE DE ZONGO - BOTIJILACA,1.31,383,6.8,2020
VALLE DE ZONGO - CUTICUCHO,0.23,668,23,2020
VALLE DE ZONGO - SANTA ROSA_1,0.27,187.5,6.9,2020
VALLE DE ZONGO - SANTA ROSA_2,0.33,836.2,10.7,2020
VALLE DE ZONGO - SAINANI,0.45,291,10.5,2020
VALLE DE ZONGO - CHURURAQUI,1.5,375,25.4,2020
VALLE DE ZONGO - HARCA,0.85,345,25.8,2020
VALLE DE ZONGO - CAHUA,1.01,285,28.1,2020
VALLE DE ZONGO - HUAJI,1.48,250,30.2,2020
CHOJLLA LAGO,,,,2020
CHOJLLA,0.79,560.8,38.4,2020
YANACACHI,1.15,492.3,50.8,2020
CORANI,21.4,622.3,54,2020
SANTA ISABEL,21.4,856.7,93,2020
SAN JOSE 1,21.4,313,55,2020
SAN JOSE 2,21.4,369,69,2020
BANDA AZUL,60,100,147,2025
MISICUNI,2.39,1035.5,120,2020
MIGUILLA,16,480,2.5,2020
ANGOSTURA,1.16,533,6.2,2020
CHOQUETANGA,1.25,488,6.1,2020
CARABUCO,1.81,337,6.1,2020
MIGUILLAS - UMAPALCA,11.53,859,84,2025
MIGUILLAS - PALILLADA,20,757,116,2025
KILPANI,4.11,280,11.5,2020
LANDARA,5.1,100,5.1,2020
PUNUTUMA,2.43,103,2.5,2020
EL CONDOR,3,60.48,1.47,2025
KANATA,0.25,1210,7.8,2020
SAN JACINTO,2.46,47.9,7,2020
ICONA,80,159,102,2050
IVIRIZU - SEHUENCAS,26.5,811.6,188,2025
IVIRIZU - JUNTAS,32.5,326.5,91,2025
CARRIZAL,51,827.2,366,2025
MOLINEROS,44.6,197.5,100,2025
INCAHUASI,1.2,1226,12.27,2025
MUNECAS,101.8,32,27.3,2050
CHIUTA ,16,162.26,10.14,2050
INKAPINKINA,14,161.24,20.15,2050
KIRKI,47,235.9,56.25,2050
HUACATA,1.4,536,5.83,2050
CACHUELA ESPERANZA,10150,10.8,990,2050
CHEPETE,1600,183,3251,2050
EL BALA,1062.883701,40,425,2050
QUEHATA,,170,1.97,2050
CAMBARI,115,105,93,2050
AMBROSIA,,,87,2050
VILLA JORKA ,60,297,140,2050
SANTA ROSA 1,,,300,2050
OKITAS,32,265.72,85,2050
JATUN PAMPA,214,60.77,130,2050
SERIPOMA,171,184,400,2050
CANAHUECAL,194,206,500,2050
LAS JUNTAS,273,64,170,2050
OCAMPO,276,56,300,2050
PENA BLANCA,285,135,500,2050
LA PESCA,304,135,700,2050
ROSITAS,600,115,600,2050
